2026-05-13 17:26:57 | 192.168.126.21 | Command: DEL name | Result: DELETED
2026-05-13 17:27:01 | 192.168.126.21 | Command: DEL exam | Result: DELETED
2026-05-13 17:27:06 | 192.168.126.21 | Command: DEL exam=PASS | Result: DELETED
2026-05-13 17:27:50 | 192.168.126.89 | Command: DEL age | Result: ERROR: storage_empty
2026-05-13 17:28:10 | 192.168.126.89 | Command: SET age 19 | Result: OK
2026-05-13 17:28:13 | 192.168.126.89 | Command: GET age | Result: VALUE: 19
2026-05-13 17:28:15 | 192.168.126.89 | Command: DEL age | Result: DELETED
2026-05-15 11:04:08 | 127.0.0.1 | Command: 127.0.0.1 | Result: ERROR: unknown_command
2026-05-15 11:04:23 | 127.0.0.1 | Command: powershell.exe | Result: ERROR: unknown_command
2026-05-15 11:05:03 | 127.0.0.1 | Command: STATUS powershell.exe | Result: ERROR: unknown_command
2026-05-15 11:05:24 | 127.0.0.1 | Command: 127.0.0.1 | Result: ERROR: unknown_command
2026-05-15 11:05:25 | 127.0.0.1 | Command: 127.0.0.1 | Result: ERROR: unknown_command
2026-05-15 11:06:36 | 192.168.126.141 | Command: SET  | Result: ERROR: invalid_key
2026-05-15 11:06:54 | 192.168.126.141 | Command: SET Name alex_Fitness | Result: OK
2026-05-15 11:07:39 | 192.168.126.141 | Command: GET Name  | Result: VALUE: alex_Fitness
